post,channel,source,sessions,engaged_sessions
"typescript-has-a-big-problem","Direct","(direct)","11","1"
"so-it-begins-the-end-of-typescript","Direct","(direct)","9","2"
"taking-responsibility-for-your-ai-generated-code","Organic Social","linkedin.com","7","2"
"i-am-a-web-developer-and-here-is-why-i-dont-use-typescript","Direct","(direct)","6","0"
"the-reality-of-rescript-optimization-claims","Direct","(direct)","6","1"
"why-every-desk-job-is-becoming-an-ai-apprenticeship","Direct","(direct)","6","2"
"taking-responsibility-for-your-ai-generated-code","Direct","(direct)","5","0"
"the-4-pillars-of-next-gen-web-dev","Direct","(direct)","5","0"
"when-two-ai-pipelines-meet--turning-curated-data-into-a-daily-api","Direct","(direct)","5","0"
"why-rescript-is-next-gen","Direct","(direct)","5","0"
"ai-powered-video-curation-from-naive-search-to-confident-matches","Direct","(direct)","4","0"
"strong-type-systems-are-required-for-a-safer-web","Direct","(direct)","4","1"
"teach-claude-your-project-once-benefit-forever","Direct","(direct)","4","0"
"5-ways-rescript-fixes-typescript","Direct","(direct)","3","0"
"using-ai-to-automate-quality-content-delivery","Direct","(direct)","3","0"
"coding-is-not-for-humans","Direct","(direct)","2","0"
"taking-responsibility-for-your-ai-generated-code","Cross-network","(data not available)","1","0"
"taking-responsibility-for-your-ai-generated-code","Unassigned","(not set)","1","0"
"taking-responsibility-for-your-ai-generated-code","Unassigned","share","1","0"
"when-two-ai-pipelines-meet--turning-curated-data-into-a-daily-api","Organic Social","t.co","1","1"
